,Brewery,Beer Name,Style,ABV,IBU,SRM
199,Alaskan Brewing Co.,Alaskan Amber,American-Style Amber/Red Ale,5.3,18.0,22
200,Alaskan Brewing Co.,Alaskan Birch Bock,German-Style Doppelbock,8.5,20.0,30
201,Alaskan Brewing Co.,Alaskan Black IPA,American-Style Black Ale,6.4,65.0,41
202,Alaskan Brewing Co.,Alaskan Imperial IPA,Imperial or Double India Pale Ale,8.5,70.0,18
203,Alaskan Brewing Co.,Alaskan Smoked Porter,Smoke Porter,6.5,45.0,40
204,Alaskan Brewing Co.,Alaskan White,Belgian-Style White (or Wit) / Belgian-Style Wheat,5.3,15.0,7
205,Wild Rose Brewery,Alberta Crude,American-Style Stout,5.25,40.0,41
206,Mayflower Brewing Company,Alden,Imperial or Double India Pale Ale,8.0,80.0,5
207,Steamworks Brewing Company,Ale Diablo,Golden or Blonde Ale,8.5,33.0,5
208,Von Freude,Ale Primeur,Belgian-Style Pale Ale,5.8,35.0,11
209,Cervejaria Alenda Bier,Alenda Weissbier,South German-Style Hefeweizen / Hefeweissbier,5.2,10.0,12
210,Rurban,Alestake and Evergreen,American-Style India Pale Ale,5.9,55.0,6
211,James River Brewery,Alexander Porter,Brown Porter,5.7,12.0,30
212,Third Place Brewing,Ali's Pale Ale,American-Style Pale Ale,5.4,45.0,9
213,Shannon Brewing Company,All American Blonde,Golden or Blonde Ale,5.2,22.0,5
214,Bad Tom Smith Brewing,All American IPA - Legend Series,American-Style India Pale Ale,6.5,71.0,6
215,Lakewood Brewing Company,All Call,German-Style Kölsch / Köln-Style Kölsch,5.0,25.0,3
216,Founders Brewing Company,All Day IPA,Session India Pale Ale,4.7,42.0,9
217,Other Half Brewing Company,All Green Everything,Imperial or Double India Pale Ale,10.5,120.0,13
218,Tap & Screw Brewery,All Jacked Up,Robust Porter,5.7,34.0,40
219,Legal Remedy Brewing Co.,All Rise Session Pale Ale,American-Style Pale Ale,4.2,25.0,5
220,All Rise Brewing Co.,All Rise Temporary Solution,Brown Porter,6.2,33.0,30
221,College Street Brewhouse & Pub,All-American Wheat,Light American Wheat Ale or Lager without Yeast,5.1,4.7,4
222,Panther Island Brewing,Allergeez,Light American Wheat Ale or Lager with Yeast,5.7,19.0,4
223,TwoDEEP Brewing Co.,Allie's Big Hitter,Light American Wheat Ale or Lager with Yeast,5.2,48.7,6
224,Tractor Brewing Company,Almanac IPA,American-Style India Pale Ale,6.25,72.0,5
225,Lolo Peak Brewing Company,Alpenglow Wheat Ale,Light American Wheat Ale or Lager with Yeast,4.7,14.0,4
