,Brewery,Beer Name,Style,ABV,IBU,SRM
4764,College Street Brewhouse & Pub,Sweet Devil Stout,American-Style Stout,6.66,19.0,40
4765,Panther Island Brewing,Sweet Fang,Sweet or Cream Stout,4.7,25.0,41
4766,Claremont Craft Ales,Sweet Nothings,Belgian-Style Blonde Ale,6.5,22.0,6
4767,Piney River Brewing Company,Sweet Potato Ale,Field Beer,6.0,24.0,12
4768,4 Mile Brewing Co.,Sweet Potato Harvest Spiced Ale,Herb and Spice Beer,5.0,40.0,17
4769,Station 26 Brewing Co.,Sweet Potato Pie Porter,Brown Porter,5.4,22.0,22
4770,Freak'N Brewing Company,Sweet Thang Crème Brûlée Imperial Milk Stout,American-Style Imperial Stout,9.2,42.0,40
4771,Tallgrass Brewing Company,Sweet Tooth,Belgian-Style Dark Strong Ale,9.2,30.0,31
4772,Grand Teton Brewing Company,Sweetgrass APA,American-Style Pale Ale,6.0,60.0,8
4773,OMNI Brewing Co.,Sweetness,Sweet or Cream Stout,5.5,29.0,33
4774,SweetWater Brewing Company,SweetWater IPA,American-Style India Pale Ale,6.3,61.0,9
4775,Switchback Brewing Company,Switchback Ale,American-Style Amber/Red Ale,5.0,28.0,7
4776,Moon Dog,Symbiotic Solipsism,Coffee-Flavored Beer,7.0,30.0,18
4777,Upland Brewing Company,Syrupticious Maple Breakfast Stout,American-Style Stout,7.0,49.0,41
4778,Base Camp Brewing Company,S’more Stout,Foreign (Export)-Style Stout,7.7,66.0,41
4779,Rhinegeist,T-Rex,American-Style India Pale Ale,7.7,83.0,41
4780,Central State Brewing,Table Beer - Rustic Blonde Ale,Belgian-Style Blonde Ale,4.0,38.0,3
4781,Olde Hickory Brewery,Table Rock Pale Ale,American-Style Pale Ale,5.5,50.0,12
4782,BricktownE Brewing Company,Table Rock Red Ale,American-Style Amber/Red Ale,5.8,37.0,15
4783,Arizona Wilderness Brewing Company,Table Top Saison,French & Belgian-Style Saison,5.4,26.0,5
4784,Heretic Brewing Company,Tafelbully,Belgian-Style Pale Ale,5.4,26.0,4
4785,Saddle Mountain Brewing Company,Tahelenbak,Münchner (Munich)-Style Helles,5.5,18.0,5
4786,Saddle Mountain Brewing Company,Taildragger 300 Foot Steve,Imperial Red Ale,7.5,90.0,25
4787,Saddle Mountain Brewing Company,Taildragger 5G Pull,Belgian-Style White (or Wit) / Belgian-Style Wheat,5.1,16.0,5
4788,Saddle Mountain Brewing Company,Taildragger Chasing Tail,American-Style Amber/Red Ale,5.1,28.0,17
4789,Saddle Mountain Brewing Company,Taildragger Clan-Destine,Scottish-Style Export Ale,5.0,18.0,14
4790,Saddle Mountain Brewing Company,Taildragger Hop Snob,American-Style India Pale Ale,6.9,65.0,8
4791,Saddle Mountain Brewing Company,Taildragger I.F.R.,Oatmeal Stout,4.8,31.0,41
4792,Saddle Mountain Brewing Company,Taildragger Ray's Gold,American-Style India Pale Ale,6.5,74.0,8
4793,Saddle Mountain Brewing Company,Taildragger Show Your Stripes,Specialty Honey Lager or Ale,5.8,20.0,8
4794,Saddle Mountain Brewing Company,Taildragger Tuskegee Red Tails,American-Style Amber/Red Ale,5.5,46.0,16
4795,Saddle Mountain Brewing Company,Taildragger Warhawk,American-Style Cream Ale or Lager,5.7,17.0,4
4796,Panther Island Brewing,Tailgater,American-Style Cream Ale or Lager,4.8,7.0,3
4797,New Glory Craft Brewery,Take 5,Session Beer,4.9,45.0,4
4798,NoCoast Beer Co.,Take a Chill,German-Style Pilsener,5.2,28.0,5
4799,Lab Brewing @ Twisted Oak Tavern,Take Her Home,Belgian-Style Tripel,10.6,25.0,6
4800,Church Street Brewing Company,Tale of the Shony Scottish Ale,Scottish-Style Heavy Ale,5.1,32.0,24
4801,Isley Brewing Company,Tall Dark & Hopsome,Imperial or Double India Pale Ale,8.1,98.0,41
4802,8 Wired Brewing Company,Tall Poppy,American-Style Amber/Red Ale,7.0,60.0,16
4803,Wild Earth Brewing,Tamarack,Belgian-Style Pale Ale,5.5,35.0,6
4804,Ingeniero Microbrewery,Tamarindia Amber Ale,Fruit Beer,6.0,18.0,17
4805,Black Raven Brewing Company,Tamerlane Brown Porter,Brown Porter,5.8,35.0,41
4806,Crank Arm Brewing Company,Tandem,Imperial or Double India Pale Ale,8.4,82.0,9
4807,Station 26 Brewing Co.,Tangerine Cream Ale,American-Style Cream Ale or Lager,5.2,25.0,4
4808,Mill Street Brewery,Tankhouse,American-Style Pale Ale,5.2,40.0,25
4809,Old Bust Head Brewing Co.,TANX'nitania,Imperial or Double India Pale Ale,10.1,100.0,11
4810,Bruery Terreux,Tart of Darkness,Wood- and Barrel-Aged Sour Beer,5.6,5.0,41
4811,Jekyll Brewing,Tart Vise,Berliner-Style Weisse (Wheat),4.4,7.3,3
4812,NoDa Brewing Company,Tart Your Engines,Berliner-Style Weisse (Wheat),5.23,6.0,3
4813,Sunken City Brewing Company,Tartan Tent Scottish Ale,Scotch Ale,6.6,27.8,14
4814,Grist Brewing Company,Tartanium Berliner Weisse,Berliner-Style Weisse (Wheat),5.4,13.0,6
4815,Weyerbacher Brewing Company,Tarte Nouveau,American-Style Sour Ale,3.9,7.0,8
4816,Heretic Brewing Company,Tartuffe,Berliner-Style Weisse (Wheat),4.7,10.0,4
4817,Boston Beer Company,Tasman Red,American-Style India Pale Ale,6.75,60.0,41
4818,Bottle Logic Brewing,Tattered Prince,French & Belgian-Style Saison,7.3,25.0,5
4819,Steamworks Brewing Company,Tax Alement,Extra Special Bitter,5.9,43.3,13
4820,Drekker Brewing Company,Techno Viking,American-Style Sour Ale,4.5,1.0,2
4821,Catawba Brewing Co.,Ted Light Lime,American-Style Light (Low Calorie) Lager,4.5,7.0,3
4822,Upland Brewing Company,Teddy Bear Kisses,American-Style Imperial Stout,10.2,80.0,41
4823,Meadowlark Brewing,Teddy Roosevelt American Badass,Imperial or Double India Pale Ale,7.9,95.0,3
4824,Oskar Blues Brewery,Ten FIDY (2014),American-Style Imperial Stout,10.5,65.0,41
4825,Oskar Blues Brewery,Ten FIDY (2015),American-Style Imperial Stout,10.5,65.0,41
4826,Oskar Blues Brewery,Ten FIDY,American-Style Imperial Stout,10.5,65.0,40
4827,Grapevine Craft Brewery,Ten Gauge,Pale American-Belgo-Style Ale,7.2,60.0,16
4828,Goose Island Beer Company,Ten Hills Pale Ale,American-Style Pale Ale,6.2,50.0,19
4829,Adroit Theory Brewing Company,Tenebris,American-Style Barley Wine Ale,11.0,85.0,13
4830,Adroit Theory Brewing Company,Tenebris Aged in Bourbon Barrels,American-Style Barley Wine Ale,10.7,93.0,13
4831,Adroit Theory Brewing Company,Tenebris Aged in Cognac Barrels,American-Style Barley Wine Ale,10.7,93.0,13
4832,Adroit Theory Brewing Company,Tenebris Aged in Port Barrels,American-Style Barley Wine Ale,10.7,93.0,13
4833,Adroit Theory Brewing Company,Tenebris Aged in Tequila Barrels,American-Style Barley Wine Ale,10.7,93.0,13
4834,DESTIHL Brewery,Tenebrous,American-Style Black Ale,6.1,74.0,41
4835,Tennent Caledonian Brewery,Tennent's Whisky Oak Aged,Wood- and Barrel-Aged Beer,6.0,24.0,16
4836,Homestead Beer Co.,Tenpenny Amber Ale,American-Style Amber/Red Ale,5.2,35.0,14
4837,Levity Brewing,Tenured,Imperial or Double India Pale Ale,8.9,100.0,7
4838,DuClaw Brewing Company,Tequila BA Devil's Milk,American-Style Barley Wine Ale,10.6,66.0,25
4839,Boulevard Brewing Company,Tequila Barrel Lime Gose,Contemporary Gose,5.9,15.0,8
4840,The Terminal Brewhouse,Terminally Ale,American-Style Pale Ale,5.6,37.0,14
4841,Boulevard Brewing Company,Terra Incognita,Specialty Beer,8.5,38.5,39
4842,Unibroue,Terrible,Other Belgian-Style Ales,10.5,15.0,33
4843,Sixpoint Brewery,Tesla,American-Style Lager,7.1,49.0,9
4844,Texas Beer Refinery,Tex's Blonde,Golden or Blonde Ale,5.3,27.0,5
4845,Fort Bend Brewing Company,Texas Backyard Blonde Ale,Golden or Blonde Ale,5.1,32.0,5
4846,Ranger Creek Brewing & Distilling,Texas Bourbon Barrel Imperial Brown,American-Style Brown Ale,10.9,30.0,25
4847,Fort Bend Brewing Company,Texas Farmhouse Ale,French & Belgian-Style Saison,5.1,26.0,6
4848,Fort Bend Brewing Company,Texas Lightning IPA,American-Style India Pale Ale,7.7,99.0,10
4849,Bluebonnet Beer Company,Texas Pecan Brown Ale,American-Style Brown Ale,5.7,25.0,26
4850,Braman Brewing Company,Texas Reserve IPA,American-Style India Pale Ale,8.3,59.0,6
4851,TUPPS Brewery,Texas Shade,Light American Wheat Ale or Lager with Yeast,5.1,27.8,5
4852,Woodcreek Brewing Company,Texas Star Bock,Vienna-Style Lager,6.7,42.0,28
4853,Bluebonnet Beer Company,Texas Summer Blonde Ale,Golden or Blonde Ale,5.2,19.0,5
4854,Fort Bend Brewing Company,Texas Thunder Stout,American-Style Stout,7.0,25.0,41
4855,Legacy Brewing Company,That Guava Beer,Fruit Beer,4.9,22.0,4
4856,Deschutes Brewery,The Abyss,American-Style Imperial Stout,11.0,86.0,40
4857,The Knuckle Brewing Company,The Aftermath IPA,American-Style India Pale Ale,6.9,69.0,11
4858,Fat Bottom Brewing,The Baroness,American-Style Imperial Stout,8.5,45.0,41
4859,Avery Brewing Company,The Beast,Belgian-Style Dark Strong Ale,16.83,63.0,37
4860,Second Salem Brewing Company,The Beast of Bray Road Amber Ale,American-Style Amber/Red Ale,6.66,47.0,14
4861,Stillmank Beer Company,The Bee's Knees,Specialty Honey Lager or Ale,4.8,19.0,6
4862,Eudora Brewing Company,The Bee's Knees™,American-Style Amber/Red Ale,6.0,38.0,12
4863,Werk Force Brewing Co.,The Beer Formerly Known As Pineapple Express,American-Style India Pale Ale,7.1,55.7,11
4864,Blind Tiger Brewery & Restaurant,The Beer from IPAnema,Imperial or Double India Pale Ale,11.0,100.0,6
4865,The Booth Brewing Co.,The Beer Pilgrim's Porter (???),Robust Porter,6.0,35.0,29
4866,#FREEDOM Craft Brewery,The Berry Amendment,American-Style Amber/Red Ale,6.5,31.0,11
4867,8 Wired Brewing Company,The Big Smoke,Smoke Porter,6.2,40.0,40
4868,The Depot,The Bishop,American-Style Brown Ale,16.0,36.0,32
4869,Scorched Earth Brewing Co.,The Bitter Chocolatier,Oatmeal Stout,9.1,25.0,41
4870,Rock Cut Brewing Company,The Bitter Librarian,Imperial Red Ale,7.5,65.0,20
4871,TwoDEEP Brewing Co.,The Blanket (Original) IPA,American-Style India Pale Ale,6.8,67.0,9
4872,Nowhere In Particular Brewing Company,The Blind Man's Bluff,Old Ale,8.5,47.0,26
4873,Outer Planet Craft Brewing,The Bohemian,Bohemian-Style Pilsener,4.5,17.0,3
4874,Isley Brewing Company,The Bribe,Brown Porter,6.6,19.0,41
4875,Backwoods Brewing Company,The Bumbler,Specialty Honey Lager or Ale,10.0,100.0,8
4876,Iron Hill Brewery,The Cannibal™,Belgian-Style Pale Strong Ale,8.0,31.0,3
4877,Sactown Union Brewery,The Catalyst,Historical Beer,5.3,36.0,11
4878,The Black Abbey Brewing Company,The Champion,American-Style Pale Ale,5.5,29.0,8
4879,The Black Abbey Brewing Company,The Chapter House,Belgian-Style Table Beer,5.7,16.0,10
4880,Ballast Point Brewing Company,The Commodore,American-Style Stout,6.5,60.0,40
4881,Seaquake Brewing,The CPA - Coastal Pale Ale,American-Style Strong Pale Ale,5.9,37.0,9
4882,Sixpoint Brewery,The Crisp,Bohemian-Style Pilsener,5.4,42.0,6
4883,Avery Brewing Company,The Czar,American-Style Imperial Stout,11.03,55.0,41
4884,Four Peaks Brewing Company,The Dark Lab,European-Style Dark / Münchner Dunkel,5.6,26.0,24
4885,High Hops Brewery,The Dark One,Sweet or Cream Stout,6.3,28.0,38
4886,Cigar City Brewing,The Dark Woods,Old Ale,10.8,52.4,34
4887,Equinox Brewing Company,The Details,Belgian-Style Tripel,9.2,20.0,6
4888,Adroit Theory Brewing Company,The Devil Made Me,Baltic-Style Porter,8.1,34.0,40
4889,Ninkasi Brewing Company,The Devil Went Down To Oregon,German-Style Rye Ale (Roggenbier) with or without Yeast,7.2,65.0,30
4890,Laughing Dog Brewing,The Dogfather,American-Style Imperial Stout,10.0,60.0,41
4891,Woodcreek Brewing Company,The Dog’s Bollocks ESB Ale,Extra Special Bitter,5.6,38.0,10
4892,Channel Brewing Co,The Drop,American-Style Pale Ale,5.6,35.0,7
4893,Municipal Brew Works,The Duelist,Dark American-Belgo-Style Ale,8.0,30.0,37
4894,Saddle Mountain Brewing Company,The Edge,American-Style Pale Ale,4.8,42.0,10
4895,1933 Brewing Company,The Enforcer Oatmeal Stout,Oatmeal Stout,6.0,38.0,35
4896,Carrollwood Brewing Company,The Executive's Pail,American-Style Pale Ale,5.0,31.2,5
4897,Raleigh Brewing Company,The First Squeeze,Light American Wheat Ale or Lager with Yeast,6.0,29.0,5
4898,Bruery Terreux,The Flanders Giant,Wood- and Barrel-Aged Sour Beer,14.2,4.0,24
4899,Triple C Brewing Company,The Force,Belgian-Style Tripel,8.8,30.0,9
4900,The Black Abbey Brewing Company,The Fortress,American-Style Black Ale,5.9,29.0,35
4901,Pollyanna Brewing Company,THE FULL LEMONTY,Golden or Blonde Ale,5.0,20.0,5
4902,Starr Hill Brewery,The Gift,German-Style Heller Bock/Maibock,6.5,25.0,10
4903,High Hops Brewery,The Golden One,American-Style Pilsener,5.7,16.0,3
4904,Iron Hill Brewery,The Grand Inquisitor,Wood- and Barrel-Aged Strong Beer,9.6,70.0,30
4905,Hardywood Park Craft Brewery,The Great Return,American-Style India Pale Ale,7.5,70.0,12
4906,Prairie Krafts Brewing Company,The Grove,American-Style Amber/Red Ale,6.0,32.0,14
4907,Gibb's Hundred Brewing Company,The Guilty Party,Extra Special Bitter,5.1,37.0,14
4908,Lagunitas Brewing Company,The Hairy Eyeball,American-Style Strong Pale Ale,8.8,56.66,25
4909,Bandwagon Brew Pub,The Heavy Weight 2x IPA,American-Style India Pale Ale,9.5,130.0,14
4910,Fish Brewing Company,The Hobbit: Smaug Stout,American-Style Imperial Stout,9.5,65.0,40
4911,Bandwagon Brew Pub,The Honey Brunette,American-Style Amber/Red Ale,5.5,23.0,18
4912,Goose Island Beer Company,The Illinois,Imperial or Double India Pale Ale,9.0,95.0,17
4913,Legacy Brewing Company,The Illuminated Blonde,Golden or Blonde Ale,4.7,24.0,4
4914,Avery Brewing Company,The Kaiser,German-Style Oktoberfest / Wiesen (Meadow),9.3,24.0,20
4915,Big Storm Brewing Co.,The Kalm,German-Style Kölsch / Köln-Style Kölsch,5.1,25.0,2
4916,Lexington Avenue Brewery,The Knuckle,Oatmeal Stout,5.7,36.0,40
4917,Urban Legend Brewing Company,The Krispy Karl,American-Style Imperial Stout,13.0,100.0,35
4918,TwoDEEP Brewing Co.,The Kunkel Dunkelweizen,South German-Style Dunkel Weizen / Dunkel Weissbier,6.5,14.8,14
4919,Left Nut Brewing Co.,The Lappland Blonde,Golden or Blonde Ale,4.5,20.0,4
4920,Nowhere In Particular Brewing Company,The Last Word,Imperial or Double India Pale Ale,9.5,100.0,6
4921,Cedar Creek Brewery,The Lawn Ranger,American-Style Cream Ale or Lager,4.7,17.0,3
4922,Blank Slate Brewing Company,The Lesser Path,American-Style India Pale Ale,6.5,70.0,4
4923,Fulton Brewing Company,The Libertine,American-Style Amber/Red Ale,8.5,45.0,24
4924,Flat Earth Brewing Company,The LIVID Planet Pale Ale,American-Style Pale Ale,6.0,81.0,13
4925,Lost Province Brewing Co,The Lost Rye-Der,American-Style Pale Ale,5.5,40.0,7
4926,Red Brick Brewing Company,The Lost Years,Wood- and Barrel-Aged Beer,8.6,22.0,17
4927,Starr Hill Brewery,The Love,South German-Style Hefeweizen / Hefeweissbier,4.6,9.0,3
4928,Coalition Brewing Company,The Loving Cup,Brown Porter,5.48,38.0,20
4929,TwoDEEP Brewing Co.,The Lunch Lady Brown Mild,American-Style Brown Ale,5.2,35.7,16
4930,Herkimer Pub & Brewery,The Lutz IPA,American-Style India Pale Ale,7.0,66.0,12
4931,Prairie Sun Brewery,THE MAD HOPPER,American-Style India Pale Ale,7.5,75.0,9
4932,Avery Brewing Company,The Maharaja,Imperial or Double India Pale Ale,10.24,102.0,16
4933,High Alpine Brewing Co.,The Matron,Wood- and Barrel-Aged Dark Beer,8.4,39.0,41
4934,Banded Horn Brewing Company,The Mountain,British-Style Imperial Stout,12.0,89.0,36
4935,Goose Island Beer Company,The Muddy,American-Style Imperial Stout,9.0,32.0,41
4936,Smog City Brewing,The Nothing,American-Style Imperial Stout,9.3,45.0,41
4937,Hops & Grain Brewery,The One They Call Zoe,Experimental Beer (Lager or Ale),5.2,18.0,18
4938,Pollyanna Brewing Company,The Optimist's Son,French & Belgian-Style Saison,5.6,25.0,4
4939,Barley Forge Brewing Co.,The Patsy Coconut Stout,Specialty Stouts,6.6,37.0,41
4940,Stillwater Artisanal Ales,The Perfect Crime,French & Belgian-Style Saison,7.5,60.0,41
4941,7th Settlement Brewery,The Pils Ale,American-Style Pilsener,4.8,14.0,3
4942,Braman Brewing Company,The Pilsner,American-Style Pilsener,5.1,36.0,3
4943,Black Duck Brewery,The Platypus,Australian-Style Pale Ale,4.0,23.0,17
4944,Solvang Brewing Co,THE Playmaker #88 IPA,American-Style India Pale Ale,7.2,73.0,7
4945,New Holland Brewing Company,The Poet,Oatmeal Stout,5.2,37.0,41
4946,Old World Brewery,The Prick - Prickly Pear Wheat,Fruit Wheat Ale or Lager with or without Yeast,4.2,16.0,3
4947,Birdsong Brewing Co.,The Pride,Belgian-Style Dubbel,9.3,35.0,37
4948,Rusty Beaver Brewery,The Quake Stout,American-Style Stout,8.9,48.48,40
4949,Southbound Brewing Company,The Reaper,Belgian-Style Quadrupel,9.6,25.0,25
4950,1933 Brewing Company,The Revenuer IPA,American-Style India Pale Ale,7.5,72.0,7
4951,Avery Brewing Company,The Reverend,Belgian-Style Quadrupel,10.0,24.0,13
4952,Nowhere In Particular Brewing Company,The Riveter,Strong Ale,10.5,54.0,14
4953,The Depot,The Rodeo Queen,Fruit Wheat Ale or Lager with or without Yeast,4.9,3.0,5
4954,The Black Abbey Brewing Company,The Rose,Belgian-Style Blonde Ale,5.7,15.0,5
4955,Martin House Brewing Company,The Salty Lady,Leipzig-Style Gose,5.0,4.0,3
4956,Saucony Creek Brewing Company,The Saucony Sessions,American-Style Pale Ale,4.0,75.0,8
4957,Aquanaut Brewing Company,The Search,Extra Special Bitter,5.4,40.0,14
4958,Neshaminy Creek Brewing Company,The Shape of Hops to Come Imperial IPA,Imperial or Double India Pale Ale,8.5,98.0,6
4959,James River Brewery,The Sherman,Sweet or Cream Stout,5.3,12.0,35
4960,Opposition Brewing Company,The Sixth Seal,American-Style India Pale Ale,6.3,86.3,9
4961,Sixpoint Brewery,The Smith Ale,American-Style Pale Ale,5.1,37.0,9
4962,The Black Abbey Brewing Company,The Special,Belgian-Style Table Beer,5.8,13.0,17
4963,Solemn Oath Brewery,The Telegraph,Scotch Ale,9.5,20.0,20
4964,Lakewood Brewing Company,The Temptress,Sweet or Cream Stout,9.1,56.0,33
4965,Brasserie St. James,The Third Man,Belgian-Style Tripel,8.4,25.0,4
4966,ZwanzigZ Pizza & Brewing,The Ticket Chocolate Beer,Chocolate / Cocoa-Flavored Beer,6.4,11.0,9
4967,Highway 1 Brewing Company,The Trollop,Belgian-Style Pale Ale,4.9,22.6,4
4968,Apple Blossom Brewing Company,The Trouble with Tripels,Belgian-Style Tripel,10.5,31.0,6
4969,Lost Province Brewing Co,The Tubby Monk,Belgian-Style Dark Strong Ale,8.4,29.0,24
4970,Opposition Brewing Company,The Tunguska Event,American-Style Cream Ale or Lager,5.5,20.2,4
4971,Boston Beer Company,The Vixen,Herb and Spice Beer,8.5,20.0,41
4972,Commonwealth Brewing Co.,The Wealth,French & Belgian-Style Saison,7.5,28.0,4
4973,The Terminal Brewhouse,The White Shadow,Belgian-Style White (or Wit) / Belgian-Style Wheat,5.3,15.0,3
4974,Lost Nation Brewing,The Wind,Contemporary Gose,4.5,8.0,1
4975,Great Lakes Brewing Company,The Wright Pils,American-Style Pilsener,5.3,40.0,2
4976,Coalition Brewing Company,The Wu Cream Ale,American-Style Cream Ale or Lager,4.8,29.0,6
4977,Steel String Brewery,Thick Freakness Aged in Corn Whiskey Barrels,American-Style Imperial Stout,11.5,70.0,41
4978,Steamworks Brewing Company,Third Eye P.A.,American-Style Pale Ale,6.2,65.0,9
4979,Boondocks Brewing,Third Knob Truth Serum,Belgian-Style Tripel,9.09,32.5,6
4980,Boston Beer Company,Third Voyage,Imperial or Double India Pale Ale,8.0,80.0,24
4981,Fifty West Brewing Company,Thirty-37 American Pale Ale,American-Style Pale Ale,5.6,42.0,11
4982,BrewDog,This. Is. Lager.,American-Style Lager,4.7,40.0,5
4983,Copper Canyon Brewing Co.,Thompson Bay IPA,American-Style India Pale Ale,6.8,61.0,9
4984,Copper Canyon Brewing Co.,Thompson Bay IPA,American-Style India Pale Ale,6.8,61.0,11
4985,Lakewood Brewing Company,Thread Spinner,American-Style Barley Wine Ale,13.5,90.0,20
4986,Surly Brewing Company,Three,Braggot,8.3,20.0,28
4987,BearWaters Brewing Company,Three Bears,Belgian-Style Tripel,13.0,18.0,14
4988,Barrel of Monks Brewing,Three Fates,Belgian-Style Tripel,9.0,28.0,7
4989,Karbach Brewing Company,Three Legged Lab,American-Style Imperial Stout,9.3,70.0,41
4990,Brewery Ommegang,Three Philosophers,Belgian-Style Dark Strong Ale,9.7,19.0,33
4991,The Explorium Brewpub,Three Saints Bay Stout,American-Style Imperial Stout,10.0,67.0,41
4992,Third Street Brewhouse,Three Way,American-Style Pale Ale,5.2,51.0,10
4993,Double Barley Brewing,Thrilla in Vanilla Porter,Brown Porter,8.0,27.4,30
4994,Two Blokes Brewing,Throat Charmer Double IPA,Imperial or Double India Pale Ale,8.0,90.0,5
4995,Jagged Mountain Brewery,Thunder Thighs,Belgian-Style Quadrupel,12.8,30.0,18
4996,Eudora Brewing Company,Thunderball™,Oatmeal Stout,7.0,35.0,40
4997,New Helvetia Brewing Company,Thunderbeast,American-Style India Pale Ale,7.5,75.0,4
4998,MadTree Brewing Company,Thundersnow,Scottish-Style Heavy Ale,8.5,18.0,33
4999,New Helvetia Brewing Company,Thurston,Adambier,11.0,35.0,41
5000,Magic Hat Brewing Company,Ticket To Rye,Rye Ale or Lager with or without Yeast,7.1,80.0,15
5001,Frothy Beard Brewing Company,Tides of Galway,Irish-Style Red Ale,7.0,26.0,16
5002,Cedar Creek Brewery,Tighty Whities,Session India Pale Ale,4.0,45.0,5
5003,Lakewood Brewing Company,Till & Toil,French & Belgian-Style Saison,7.1,21.0,3
5004,Valiant Brewing,Tilt Shift,Belgian-Style Pale Ale,7.1,67.0,11
5005,Uinta Brewing Company,Tilted Smile,Bohemian-Style Pilsener,9.0,30.0,5
5006,Lazy Magnolia Brewing Company,Timber Beast,Rye Ale or Lager with or without Yeast,8.9,80.0,8
5007,Jagged Mountain Brewery,Timberline,American-Style Barley Wine Ale,11.4,120.0,18
5008,Fitger's Brewhouse,Timmy's Edelstoff,Münchner (Munich)-Style Helles,5.5,23.0,10
5009,Townsite Brewing,Tinhat,American-Style India Pale Ale,5.6,55.0,26
5010,Grimm Brothers Brewhouse,Tiny Dancers,American-Style India Pale Ale,6.1,61.0,7
5011,BridgePort Brewing Company,Tiny Horse,Bohemian-Style Pilsener,5.6,30.0,9
5012,Karl Strauss Brewing Company,To The 9’s (2009),Specialty Beer,9.9,99.0,9
5013,Abita Brewing Company,To-Gose,Contemporary Gose,4.1,13.0,5
5014,Little Toad Creek Brewery,Toad Wert Amber,American-Style Amber/Red Ale,5.1,35.0,13
5015,Firefly Hollow Brewing,Toadstool Oat Stout,Oatmeal Stout,5.6,25.0,30
5016,Boston Beer Company,Toasted Caramel Bock,German-Style Heller Bock/Maibock,5.6,18.0,41
5017,21st Amendment Brewery,Toaster Pastry,Imperial Red Ale,7.6,74.0,25
5018,Cigar City Brewing,Tocobaga,American-Style Amber/Red Ale,7.2,75.0,12
5019,Surly Brewing Company,Todd The Axe Man,American-Style India Pale Ale,7.2,65.0,9
5020,Surly Brewing Company,Todd The Axe Man (CASK),American-Style India Pale Ale,7.3,65.0,9
5021,Prairie Sun Brewery,TOFFEE 5,Brown Porter,4.2,25.0,33
5022,Wander Brewing,Together Belgian Dubbel,Belgian-Style Dubbel,7.2,24.0,19
5023,BrewDog,Tokyo 18.2,American-Style Imperial Stout,18.0,90.0,41
5024,Yo-Ho Brewing Company,Tokyo Black Porter,Baltic-Style Porter,5.0,37.0,41
5025,BrewDog,Tokyo*,American-Style Imperial Stout,16.5,90.0,41
5026,Pappy Slokum Brewing Co.,Tom 23,Imperial Red Ale,10.4,89.0,17
5027,Metazoa Brewing Co.,"Tom, Dark, And Handsome",American-Style India Pale Ale,6.5,76.0,41
5028,Atlas Brew Works,Tomb Essence,American-Style Imperial Stout,10.0,38.0,36
5029,Herkimer Pub & Brewery,Tomorrow Doppel Pils,American-Style Pilsener,6.7,58.0,2
5030,Bruery Terreux,Tonnellerie Rue,French & Belgian-Style Saison,8.5,20.0,6
5031,Herkimer Pub & Brewery,Toolers Weiss,Berliner-Style Weisse (Wheat),5.2,15.0,5
5032,NoDa Brewing Company,Top of the Charts,American-Style India Pale Ale,6.0,62.0,10
5033,Foothills Brewing Company,Topaz American Pale Ale - Hop of The Month,American-Style Pale Ale,7.2,54.0,6
5034,Foothills Brewing Company,Torch Pilsner,Bohemian-Style Pilsener,5.3,35.0,4
5035,Cranker's Brewery,Torchlight Munich Blonde,German-Style Pilsener,4.9,20.0,4
5036,Heretic Brewing Company,Torment,Belgian-Style Dark Strong Ale,10.0,20.0,17
5037,Firestone Walker Brewing Company,Torpedo Pilsner - Beer Camp Across America (2014),American-Style Pilsener,5.2,45.0,2
5038,Kinetic Brewing Company,Torque,Session Beer,3.6,65.0,5
5039,Ninkasi Brewing Company,Total Domination,American-Style India Pale Ale,6.7,65.0,13
5040,Hoppy Brewing Company,Total Eclipse Black Ale,Robust Porter,5.6,48.0,31
5041,Black Raven Brewing Company,Totem Northwest Pale,American-Style Pale Ale,5.8,50.0,18
5042,Karl Strauss Brewing Company,Tower 10 IPA,American-Style India Pale Ale,7.0,70.0,9
5043,Atlas Brew Works,Town & Country,Wood- and Barrel-Aged Strong Beer,8.2,20.0,13
5044,Independent Brewing Company,Town Biz,American-Style Lager,4.8,15.0,3
5045,Blue Point Brewing,Toxic Sludge,American-Style Black Ale,7.0,40.0,41
5046,South Austin Brewery,TPA,American-Style Pale Ale,5.5,40.0,6
5047,Heist Brewery,Trade & Tryon,Other Belgian-Style Ales,6.7,62.0,18
5048,Uinta Brewing Company,Trader,Session Beer,4.5,42.0,10
5049,Hardywood Park Craft Brewery,Trader Joe's Hibiscus Tripel,Belgian-Style Tripel,8.2,25.0,7
5050,Crank Arm Brewing Company,Trail Bandit Peanut Butter Stout,Specialty Stouts,5.8,14.0,41
5051,Bur Oak Brewing Company,Trail Bender Wheat,Kellerbier (Cellar beer) or Zwickelbier - Ale,4.8,30.0,12
5052,Glass Bottom Brewery,Trail Magic,American-Style Brown Ale,6.5,40.0,25
5053,Sunriver Brewing Company,Trail Pale,American-Style Pale Ale,5.7,35.0,6
5054,Red Horn Coffee House & Brewing Co.,Trailrunner Golden Ale,Golden or Blonde Ale,4.7,20.0,4
5055,Base Camp Brewing Company,Trailside ESB,Extra Special Bitter,5.6,38.0,10
5056,Danny Boy Beer Works,Training Day,American-Style Pale Ale,6.5,65.0,6
5057,Badger Hill Brewing,Traitor IPA,American-Style India Pale Ale,7.0,70.0,6
5058,Grist Brewing Company,Transition State Kolsch,German-Style Kölsch / Köln-Style Kölsch,5.5,25.0,5
